cname,iparentid,ilevel,cclass,curl,ccreateuser
权限管理,0,1,1,,reason
基本信息管理,0,1,2,,reason
商品管理,0,1,3,,reason
销售管理,0,1,4,,reason
客户管理,0,1,5,,reason
统计报表,0,1,6,,reason
用户管理,1,2,7,/sysadmin/user/list,reason
角色管理,1,2,8,,reason
用户角色设置,1,2,9,,reason
国家管理,2,2,10,,reason
地区管理,2,2,11,,reason
平台管理,2,2,12,,reason
站点管理,2,2,13,,reason
语言管理,2,2,14,,reason
货币管理,2,2,15,,reason
品类管理,3,2,16,/sysadmin/category/manager,reason
商品属性管理,3,2,17,/sysadmin/attribute/manager,reason
商品评论管理,3,2,18,,reason
客户上传图片管理,3,2,19,,reason
广告管理,0,1,20,,reason
广告管理,20,2,21,/sysadmin/advertising/list,reason
属性管理,2,2,22,/sysadmin/attribute/list,lij
banner管理,20,2,23,/sysadmin/banner/index,lhl
专题页管理,20,2,24,/sysadmin/collections/manager,luojh
商品整体说明管理,3,2,25,/sysadmin/productExplain/manager,lij
CMS,0,1,26,/sysadmin/cms/list,xcf
文章内容管理,26,2,27,/sysadmin/cms/list,xcf
订单管理,4,2,28,	/sysadmin/order/manager,lij
商品一览表,3,2,29,/sysadmin/product/list,reason
文章目录管理,26,2,30,/sysadmin/cms/manager,xcf
广告类型管理,20,2,31,/sysadmin/advertising/type/manager,xcf
邮件模板管理,0,1,32,,jiang
邮件模板管理,32,2,33,/sysadmin/emailtemplate,jiang
邮件模板变量管理,32,2,34,/sysadmin/emailvariable,jiang
汇率管理,2,2,35,/sysadmin/exchangeRate/manager,luojh
品类标签管理,3,2,36,/sysadmin/categorylabel,lij
